State,Race Ethnicity,RE Sort,RE Flag,2000-2002,2000-2002 Flag,2003-2005,2003-2005 Flag,2007-2009,2007-2009 Flag,2008-2010,2008-2010 Flag,Location 1
Alabama,All races,1,,9.75,,10.35,,10.44,,10.40,,"{'needs_recoding': False, 'longitude': '-86.63186076199969', 'latitude': '32.84057112200048', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}'}"
Alabama,American Indian or Alaska Native,6,3,9.68,,10.53,,8.00,*,8.44,,"{'needs_recoding': False, 'longitude': '-86.63186076199969', 'latitude': '32.84057112200048', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}'}"
Alabama,Asian or Pacific Islander,5,3,7.38,,8.02,,8.76,,8.80,,"{'needs_recoding': False, 'longitude': '-86.63186076199969', 'latitude': '32.84057112200048', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}'}"
Alabama,Black or African American,3,,14.10,,15.02,,15.50,,15.41,,"{'needs_recoding': False, 'longitude': '-86.63186076199969', 'latitude': '32.84057112200048', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}'}"
Alabama,Hispanic or Latina,4,2,6.95,,6.92,,6.63,,6.44,,"{'needs_recoding': False, 'longitude': '-86.63186076199969', 'latitude': '32.84057112200048', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}'}"
Alabama,White,2,,7.77,,8.46,,8.39,,8.40,,"{'needs_recoding': False, 'longitude': '-86.63186076199969', 'latitude': '32.84057112200048', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alabama"",""zip"":""""}'}"
Alaska,All races,1,,5.71,,6.02,,5.84,,5.84,,"{'needs_recoding': False, 'longitude': '-147.72205903599973', 'latitude': '64.84507995700051', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}'}"
Alaska,American Indian or Alaska Native,6,3,5.81,,5.86,,5.94,,6.38,,"{'needs_recoding': False, 'longitude': '-147.72205903599973', 'latitude': '64.84507995700051', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}'}"
Alaska,Asian or Pacific Islander,5,3,7.33,,6.57,,5.99,,6.09,,"{'needs_recoding': False, 'longitude': '-147.72205903599973', 'latitude': '64.84507995700051', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}'}"
Alaska,Black or African American,3,,10.70,,11.74,,12.09,,12.58,,"{'needs_recoding': False, 'longitude': '-147.72205903599973', 'latitude': '64.84507995700051', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}'}"
Alaska,Hispanic or Latina,4,2,6.07,,5.31,,6.98,,7.14,,"{'needs_recoding': False, 'longitude': '-147.72205903599973', 'latitude': '64.84507995700051', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}'}"
Alaska,White,2,,4.84,,5.34,,5.22,,4.99,,"{'needs_recoding': False, 'longitude': '-147.72205903599973', 'latitude': '64.84507995700051', 'human_address': '{""address"":"""",""city"":"""",""state"":""Alaska"",""zip"":""""}'}"
Arizona,All races,1,,6.91,,7.05,,7.08,,7.08,,"{'needs_recoding': False, 'longitude': '-111.76381127699972', 'latitude': '34.865970280000454', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}'}"
Arizona,American Indian or Alaska Native,6,3,6.85,,7.11,,6.61,,6.77,,"{'needs_recoding': False, 'longitude': '-111.76381127699972', 'latitude': '34.865970280000454', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}'}"
Arizona,Asian or Pacific Islander,5,3,7.95,,7.92,,8.43,,8.64,,"{'needs_recoding': False, 'longitude': '-111.76381127699972', 'latitude': '34.865970280000454', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}'}"
Arizona,Black or African American,3,,13.16,,12.38,,12.48,,11.86,,"{'needs_recoding': False, 'longitude': '-111.76381127699972', 'latitude': '34.865970280000454', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}'}"
Arizona,Hispanic or Latina,4,2,6.56,,6.69,,6.67,,6.76,,"{'needs_recoding': False, 'longitude': '-111.76381127699972', 'latitude': '34.865970280000454', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}'}"
Arizona,White,2,,6.78,,7.01,,6.92,,6.80,,"{'needs_recoding': False, 'longitude': '-111.76381127699972', 'latitude': '34.865970280000454', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arizona"",""zip"":""""}'}"
Arkansas,All races,1,,8.64,,9.04,,9.10,,8.99,,"{'needs_recoding': False, 'longitude': '-92.27449074299966', 'latitude': '34.74865012400045', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}'}"
Arkansas,American Indian or Alaska Native,6,3,8.11,,8.86,,8.23,,7.98,,"{'needs_recoding': False, 'longitude': '-92.27449074299966', 'latitude': '34.74865012400045', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}'}"
Arkansas,Asian or Pacific Islander,5,3,7.73,,6.74,,8.45,,9.26,,"{'needs_recoding': False, 'longitude': '-92.27449074299966', 'latitude': '34.74865012400045', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}'}"
Arkansas,Black or African American,3,,13.81,,14.86,,14.89,,14.73,,"{'needs_recoding': False, 'longitude': '-92.27449074299966', 'latitude': '34.74865012400045', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}'}"
Arkansas,Hispanic or Latina,4,2,5.79,,6.54,,6.41,,6.51,,"{'needs_recoding': False, 'longitude': '-92.27449074299966', 'latitude': '34.74865012400045', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}'}"
Arkansas,White,2,,7.48,,7.83,,7.88,,7.72,,"{'needs_recoding': False, 'longitude': '-92.27449074299966', 'latitude': '34.74865012400045', 'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}'}"
California,All races,1,,6.29,,6.71,,6.83,,6.80,,"{'needs_recoding': False, 'longitude': '-120.99999953799971', 'latitude': '37.63864012300047', 'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}'}"
California,American Indian or Alaska Native,6,3,6.21,,6.49,,6.90,,6.59,,"{'needs_recoding': False, 'longitude': '-120.99999953799971', 'latitude': '37.63864012300047', 'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}'}"
California,Asian or Pacific Islander,5,3,7.15,,7.42,,7.83,,7.90,,"{'needs_recoding': False, 'longitude': '-120.99999953799971', 'latitude': '37.63864012300047', 'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}'}"
California,Black or African American,3,,11.66,,12.46,,11.92,,11.95,,"{'needs_recoding': False, 'longitude': '-120.99999953799971', 'latitude': '37.63864012300047', 'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}'}"
California,Hispanic or Latina,4,2,5.66,,6.10,,6.19,,6.14,,"{'needs_recoding': False, 'longitude': '-120.99999953799971', 'latitude': '37.63864012300047', 'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}'}"
California,White,2,,5.86,,6.30,,6.36,,6.28,,"{'needs_recoding': False, 'longitude': '-120.99999953799971', 'latitude': '37.63864012300047', 'human_address': '{""address"":"""",""city"":"""",""state"":""California"",""zip"":""""}'}"
Colorado,All races,1,,8.60,,9.04,,8.90,,8.81,,"{'needs_recoding': False, 'longitude': '-106.13361092099967', 'latitude': '38.843840757000464', 'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}'}"
Colorado,American Indian or Alaska Native,6,3,9.05,,9.45,,9.14,,8.59,,"{'needs_recoding': False, 'longitude': '-106.13361092099967', 'latitude': '38.843840757000464', 'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}'}"
Colorado,Asian or Pacific Islander,5,3,10.17,,10.26,,10.91,,11.28,,"{'needs_recoding': False, 'longitude': '-106.13361092099967', 'latitude': '38.843840757000464', 'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}'}"
Colorado,Black or African American,3,,14.59,,15.20,,14.39,,14.00,,"{'needs_recoding': False, 'longitude': '-106.13361092099967', 'latitude': '38.843840757000464', 'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}'}"
Colorado,Hispanic or Latina,4,2,8.33,,8.53,,8.49,,8.38,,"{'needs_recoding': False, 'longitude': '-106.13361092099967', 'latitude': '38.843840757000464', 'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}'}"
